Product code (HS),Product description (HS),Product description (FAOSTAT),Root product (HS),Product fraction (pf),Value fraction (vf),Global average (Green),Global average (Blue),Global average (Grey),Total Global average
100110 / 100190,"Wheat (Durum wheat, Wheat nes and meslin)",Wheat,100110 / 100190,1.00,1.00,1277.0,342.0,207.0,1826.0
110100,Wheat or meslin flour,,100190,0.79,0.80,1292.0,347.0,210.0,1849.0
110100a,Wheat bread,,110100,1.15,1.00,1124.0,301.0,183.0,1608.0
110100b,Dry pasta,,110100,1.00,1.00,1292.0,347.0,210.0,1849.0
110311,Wheat groats and meal,,110321,1.00,1.00,1423.0,382.0,231.0,2036.0
110321,Wheat pellets,,100110,0.18,0.20,1423.0,382.0,231.0,2036.0
110811,"Wheat, starch",,110100,0.85,0.66,1004.0,269.0,163.0,1436.0
110900,"Wheat gluten, whether or not dried",,110100,0.15,0.34,2928.0,785.0,476.0,4189.0
100610,Rice in the husk (paddy or rough),"Rice, paddy",100610,1.00,1.00,1146.0,341.0,187.0,1674.0
100620,"Rice, husked (brown)",,100610,0.77,1.00,1488.0,443.0,242.0,2173.0
100630,"Rice, semi-milled or wholly milled, whether or not polished or glazed",,100620,0.90,1.00,1653.0,492.0,269.0,2414.0
100640,"Rice, broken",,100610,0.67,1.00,1710.0,509.0,278.0,2497.0
110230,Rice flour,,100640,0.95,1.00,1800.0,535.0,293.0,2628.0
110314,Rice groats and meal,,100610,0.75,1.00,1527.0,454.0,249.0,2230.0
100300,Barley,Barley,100300,1.00,1.00,1213.0,79.0,131.0,1423.0
110411,"Barley, rolled or flaked grains",,100300,0.72,1.00,1685.0,110.0,182.0,1977.0
110421,"Barley,hulled,pearled,sliced or kibbled",,100300,0.72,1.00,1685.0,110.0,182.0,1977.0
110710,"Malt, not roasted",,100300,0.73,1.00,1662.0,108.0,180.0,1950.0
110720,"Malt, roasted",,110710,0.80,1.00,2078.0,135.0,225.0,2438.0
220300,Beer made from malt,,110710,6.55,1.00,254.0,16.0,27.0,297.0
1005,Maize (corn),Maize,1005,1.00,1.00,947.0,81.0,194.0,1222.0
100590,Maize (corn) nes,,1005a,1.00,1.00,947.0,81.0,194.0,1222.0
110220,Maize (corn) flour,,100590,0.82,0.84,971.0,83.0,199.0,1253.0
110313,Maize (corn) groats and meal,,100590,0.11,0.10,837.0,72.0,171.0,1080.0
110423,"Maize (corn), hulled, pearled, sliced or kibbled",,100590,0.93,1.00,1018.0,87.0,209.0,1314.0
110812,Maize (corn) starch,,110220,0.75,1.00,1295.0,111.0,265.0,1671.0
151521,Maize (corn) oil crude,,100590,0.03,0.06,1956.0,168.0,400.0,2524.0
151529,"Maize (corn) oil and its fractions,refined but not chemically modified",,151521,0.98,1.00,1996.0,171.0,409.0,2576.0
100200,Rye,Rye,100200,1.00,1.00,1419.0,25.0,99.0,1543.0
110210,Rye flour,,100200,0.80,1.00,1774.0,32.0,124.0,1930.0
100400,Oats,Oats,100400,1.00,1.00,1479.0,181.0,128.0,1788.0
110312,Oat groats and meal,,100400,0.20,0.28,2098.0,257.0,182.0,2537.0
110412,"Oats, rolled or flaked grains",,100400,0.53,0.72,1998.0,245.0,173.0,2416.0
110422,"Oats, hulled,pearled,sliced or kibbled",,100400,0.73,1.00,2026.0,248.0,175.0,2449.0
100820,Millet,Millet,100820,1.00,1.00,4306.0,57.0,115.0,4478.0
100700,Grain sorghum,Sorghum,100700,1.00,1.00,2857.0,103.0,87.0,3047.0
100810,Buckwheat,Buckwheat,100810,1.00,1.00,2769.0,144.0,229.0,3142.0
100890ac,Quinoa,Quinoa,100890ac,1.00,1.00,4184.0,48.0,280.0,4512.0
100890ad,Fonio,Fonio,100890ad,1.00,1.00,4938.0,50.0,13.0,5001.0
100890ae,Triticale,Triticale,100890ae,1.00,1.00,826.0,38.0,89.0,953.0
100830,Canary seed,Canary seed,100830,1.00,1.00,4872.0,2.0,314.0,5188.0
100890af,Mixed grain,Mixed grain,100890af,1.00,1.00,1598.0,33.0,28.0,1659.0
100890,Cereals unmilled nes,"Cereals, nes",100890,1.00,1.00,3316.0,115.0,9.0,3440.0
110290,Cereal flour nes,,100890,0.79,0.83,3468.0,121.0,9.0,3598.0
110319,Cereal groats and meal nes,,110329,1.00,1.00,2896.0,101.0,8.0,3005.0
110329,Cereal pellets nes,,100890,0.18,0.16,2896.0,101.0,8.0,3005.0
110419,"Cereals, rolled or flaked grains nes",,100890,0.85,1.00,3902.0,136.0,10.0,4048.0
110429,"Cereals, hulled, pearled, sliced or kibbled nes",,100890,0.85,1.00,3902.0,136.0,10.0,4048.0
110430,"Germ of cereals, whole, rolled, flaked or ground",,100890,0.02,0.02,2757.0,96.0,7.0,2860.0
