HS (PC-TAS) code,Product discription (HS),Product description (SITC),Rootproduct (HS),Product fraction,Value fraction,Country,World Average,,,
,,,,,,Production system >>,Grazing,Mixed,Industrial,Weighted average
010111,"Horses, live pure-bred breeding",Horses,010111,1.00,1.00,Green,40317,34717,33337,37179
,,,,,,Blue,1470,3534,2183,2462
,,,,,,Grey,675,1179,1469,971
010119,"Horses, live except pure-bred breeding",,010111,1.00,1.00,Green,40317,34717,33337,37179
,,,,,,Blue,1470,3534,2183,2462
,,,,,,Grey,675,1179,1469,971
010120,"Asses, mules and hinnies, live","Asses, mules, hinnies",010111,1.00,1.00,Green,40317,34717,33337,37179
,,,,,,Blue,1470,3534,2183,2462
,,,,,,Grey,675,1179,1469,971
010210,"Bovine, live pure-bred breeding","Bov.animals,pure,breedng",010210,1.00,1.00,Green,9197,7348,4174,7002
,,,,,,Blue,192,241,311,256
,,,,,,Grey,106,199,336,219
010290,"Bovine, live except pure-bred breeding",Other bovine animals,010210,1.00,1.00,Green,9197,7348,4174,7002
,,,,,,Blue,192,241,311,256
,,,,,,Grey,106,199,336,219
010310,"Swine, live pure-bred breeding","Swine,pure,for breeding",010310,1.00,1.00,Green,5037,3353,2589,3155
,,,,,,Blue,264,261,293,276
,,,,,,Grey,416,374,439,400
010391,"Swine, live except pure-bred breeding weighing less than 50 kg","Other swine, live",010310,1.00,1.00,Green,5037,3353,2589,3155
,,,,,,Blue,264,261,293,276
,,,,,,Grey,416,374,439,400
010392,"Swine, live except pure-bred breeding weighing 50 kg or more",,010310,1.00,1.00,Green,5037,3353,2589,3155
,,,,,,Blue,264,261,293,276
,,,,,,Grey,416,374,439,400
010410,"Sheep, live","Sheep, live",010410,1.00,1.00,Green,7126,3490,2026,4278
,,,,,,Blue,168,196,331,207
,,,,,,Grey,9,30,95,33
010420,"Goats, live","Goats, live",010420,1.00,1.00,Green,5260,2685,1349,2900
,,,,,,Blue,152,169,219,175
,,,,,,Grey,0,2,10,3
010511,"Fowls, live domestic weighing not more than 185 g","Poultry, live, to 185g",010599,10.00,1.00,Green,618,317,182,277
,,,,,,Blue,56,26,15,23
,,,,,,Grey,56,45,25,36
010519,"Poultry, live except domestic fowls, weighing not more than 185 g",,010599,1.00,1.00,Green,6177,3171,1823,2765
,,,,,,Blue,563,261,154,234
,,,,,,Grey,560,448,254,364
010599,"Poultry, live except domestic fowls, weighing more than 185 g","Poultry, live,over 185g",010599,1.00,1.00,Green,6177,3171,1823,2765
,,,,,,Blue,563,261,154,234
,,,,,,Grey,560,448,254,364
020110,"Bovine carcasses and half carcasses, fresh or chilled","Bovine meat,fh,ch,w.bone",010210,0.57,0.83,Green,14996,10510,6283,10234
,,,,,,Blue,328,359,483,389
,,,,,,Grey,172,285,505,320
020120,"Bovine cuts bone in, fresh or chilled",,020110,1.00,1.00,Green,14996,10510,6283,10234
,,,,,,Blue,328,359,483,389
,,,,,,Grey,172,285,505,320
020130,"Bovine cuts boneless, fresh or chilled","Bovine meat,fh,ch,bnless",020120,0.71,1.00,Green,21121,14803,8849,14414
,,,,,,Blue,465,508,683,550
,,,,,,Grey,243,401,712,451
020210,"Bovine carcasses and half carcasses, frozen","Bovine meat,frozn,w.bone",020110,1.00,1.00,Green,14996,10510,6283,10234
,,,,,,Blue,328,359,483,389
,,,,,,Grey,172,285,505,320
