Product code (HS),Product description (HS),Product description (FAOSTAT),Root product (HS),Product fraction (pf),Value fraction (vf),Global average (Green),Global average (Blue),Global average (Grey),Total Global average
10111.0,"Horses, live pure-bred breeding",Horses,010111,1.0,1.0,37179,2462,971,40612
10119.0,"Horses, live except pure-bred breeding",,010111,1.0,1.0,37179,2462,971,40612
10120.0,"Asses, mules and hinnies, live","Asses, mules, hinnies",010111,1.0,1.0,37179,2462,971,40612
10210.0,"Bovine, live pure-bred breeding","Bov.animals,pure,breedng",010210,1.0,1.0,7002,256,219,7477
10290.0,"Bovine, live except pure-bred breeding",Other bovine animals,010210,1.0,1.0,7002,256,219,7477
10310.0,"Swine, live pure-bred breeding","Swine,pure,for breeding",010310,1.0,1.0,3155,276,400,3831
10391.0,"Swine, live except pure-bred breeding weighing less than 50 kg","Other swine, live",010310,1.0,1.0,3155,276,400,3831
10392.0,"Swine, live except pure-bred breeding weighing 50 kg or more",,010310,1.0,1.0,3155,276,400,3831
10410.0,"Sheep, live","Sheep, live",010410,1.0,1.0,4278,207,33,4518
10420.0,"Goats, live","Goats, live",010420,1.0,1.0,2900,175,3,3078
10511.0,"Fowls, live domestic weighing not more than 185 g","Poultry, live, to 185g",010599,10.0,1.0,277,23,36,336
10519.0,"Poultry, live except domestic fowls, weighing not more than 185 g",,010599,1.0,1.0,2765,234,364,3363
10599.0,"Poultry, live except domestic fowls, weighing more than 185 g","Poultry, live,over 185g",010599,1.0,1.0,2765,234,364,3363
20110.0,"Bovine carcasses and half carcasses, fresh or chilled","Bovine meat,fh,ch,w.bone",010210,0.57,0.83,10234,389,320,10943
20120.0,"Bovine cuts bone in, fresh or chilled",,020110,1.0,1.0,10234,389,320,10943
20130.0,"Bovine cuts boneless, fresh or chilled","Bovine meat,fh,ch,bnless",020120,0.71,1.0,14414,550,451,15415
20210.0,"Bovine carcasses and half carcasses, frozen","Bovine meat,frozn,w.bone",020110,1.0,1.0,10234,389,320,10943
20220.0,"Bovine cuts bone in, frozen",,020120,1.0,1.0,10234,389,320,10943
20230.0,"Bovine cuts boneless, frozen","Bovine meat,frz,boneless",020130,1.0,1.0,14414,550,451,15415
20311.0,"Swine carcasses and half carcasses, fresh or chilled","Meat of swine,frsh,chlld",010310,0.76,0.86,3582,325,454,4361
20312.0,"Hams, shoulders and cuts thereof, of swine bone in, fresh or chilled",,020311,0.77,1.0,4652,435,590,5677
20319.0,"Swine cuts, fresh or chilled, nes",,020311,0.73,1.0,4907,459,622,5988
20321.0,"Swine carcasses and half carcasses, frozen","Meat of swine, frozen",020311,1.0,1.0,3582,325,454,4361
20322.0,"Hams, shoulders and cuts thereof, of swine, bone in, frozen",,020312,1.0,1.0,4652,435,590,5677
20329.0,"Swine cuts, frozen nes",,020319,1.0,1.0,4907,459,622,5988
20410.0,"Lamb carcasses and half carcasses, fresh or chilled",,010410,0.76,0.89,5008,254,39,5301
20421.0,"Sheep carcasses and half carcasses, fresh or chilled","Meat of sheep,frsh,chlld",010410,0.5,0.89,7851,398,61,8310
20422.0,"Sheep cuts, bone in, fresh or chilled",,020421,1.0,1.0,7851,408,61,8320
20423.0,"Sheep cuts, boneless, fresh or chilled",,020422,0.8,1.0,9813,522,76,10411
20430.0,"Lamb carcasses and half carcasses, frozen",,020410,1.0,1.0,5008,254,39,5301
20441.0,"Sheep carcasses and half carcasses, frozen","Meat of sheep, frozen",020421,1.0,1.0,7851,398,61,8310
20442.0,"Sheep cuts, bone in, frozen",,020422,1.0,1.0,7851,408,61,8320
20443.0,"Sheep cuts, boneless, frozen",,020423,1.0,1.0,9813,522,76,10411
20450.0,"Goat meat, fresh, chilled or frozen",Meat of goats,010420,0.5,0.87,5185,330,6,5521
20500.0,"Horse, ass, mule or hinny meat, fresh, chilled or frozen","Meat of horses,mules,etc",010111,0.68,0.87,47367,3175,1237,51779
20610.0,"Bovine edible offal, fresh or chilled","Edible offal,bov.frsh,ch",010210,0.07,0.1,10433,396,326,11155
20621.0,"Bovine tongues, edible offal, frozen",,020610,0.1,0.24,24751,940,774,26465
20622.0,"Bovine livers, edible offal, frozen",,020610,0.6,0.42,7291,277,228,7796
20629.0,"Bovine edible offal, frozen nes","Edible offal,bov.,frozen",020610,0.3,0.34,11824,449,370,12643
