Product code (HS),Product description (HS),Product description (FAOSTAT),Root product (HS),Product fraction (pf),Value fraction (vf),Province/ state >>>,Global average
100110 / 100190,"Wheat (Durum wheat, Wheat nes and meslin)",Wheat,100110 / 100190,1.00,1.00,Green,1277
,,,,,,Blue,342
,,,,,,Grey,207
110100,Wheat or meslin flour,,100190,0.79,0.80,Green,1292
,,,,,,Blue,347
,,,,,,Grey,210
110100a,Wheat bread,,110100,1.15,1.00,Green,1124
,,,,,,Blue,301
,,,,,,Grey,183
110100b,Dry pasta,,110100,1.00,1.00,Green,1292
,,,,,,Blue,347
,,,,,,Grey,210
110311,Wheat groats and meal,,110321,1.00,1.00,Green,1423
,,,,,,Blue,382
,,,,,,Grey,231
110321,Wheat pellets,,100110,0.18,0.20,Green,1423
,,,,,,Blue,382
,,,,,,Grey,231
110811,"Wheat, starch",,110100,0.85,0.66,Green,1004
,,,,,,Blue,269
,,,,,,Grey,163
110900,"Wheat gluten, whether or not dried",,110100,0.15,0.34,Green,2928
,,,,,,Blue,785
,,,,,,Grey,476
100610,Rice in the husk (paddy or rough),"Rice, paddy",100610,1.00,1.00,Green,1146
,,,,,,Blue,341
,,,,,,Grey,187
100620,"Rice, husked (brown)",,100610,0.77,1.00,Green,1488
,,,,,,Blue,443
,,,,,,Grey,242
100630,"Rice, semi-milled or wholly milled, whether or not polished or glazed",,100620,0.90,1.00,Green,1653
,,,,,,Blue,492
,,,,,,Grey,269
100640,"Rice, broken",,100610,0.67,1.00,Green,1710
,,,,,,Blue,509
,,,,,,Grey,278
110230,Rice flour,,100640,0.95,1.00,Green,1800
,,,,,,Blue,535
,,,,,,Grey,293
110314,Rice groats and meal,,100610,0.75,1.00,Green,1527
,,,,,,Blue,454
,,,,,,Grey,249
100300,Barley,Barley,100300,1.00,1.00,Green,1213
,,,,,,Blue,79
,,,,,,Grey,131
110411,"Barley, rolled or flaked grains",,100300,0.72,1.00,Green,1685
,,,,,,Blue,110
,,,,,,Grey,182
110421,"Barley,hulled,pearled,sliced or kibbled",,100300,0.72,1.00,Green,1685
,,,,,,Blue,110
,,,,,,Grey,182
110710,"Malt, not roasted",,100300,0.73,1.00,Green,1662
,,,,,,Blue,108
,,,,,,Grey,180
110720,"Malt, roasted",,110710,0.80,1.00,Green,2078
,,,,,,Blue,135
,,,,,,Grey,225
220300,Beer made from malt,,110710,6.55,1.00,Green,254
,,,,,,Blue,16
,,,,,,Grey,27
1005,Maize (corn),Maize,1005,1.00,1.00,Green,947
,,,,,,Blue,81
,,,,,,Grey,194
100590,Maize (corn) nes,,1005a,1.00,1.00,Green,947
,,,,,,Blue,81
,,,,,,Grey,194
110220,Maize (corn) flour,,100590,0.82,0.84,Green,971
,,,,,,Blue,83
,,,,,,Grey,199
110313,Maize (corn) groats and meal,,100590,0.11,0.10,Green,837
,,,,,,Blue,72
,,,,,,Grey,171
110423,"Maize (corn), hulled, pearled, sliced or kibbled",,100590,0.93,1.00,Green,1018
,,,,,,Blue,87
,,,,,,Grey,209
110812,Maize (corn) starch,,110220,0.75,1.00,Green,1295
,,,,,,Blue,111
,,,,,,Grey,265
151521,Maize (corn) oil crude,,100590,0.03,0.06,Green,1956
,,,,,,Blue,168
,,,,,,Grey,400
151529,"Maize (corn) oil and its fractions,refined but not chemically modified",,151521,0.98,1.00,Green,1996
,,,,,,Blue,171
,,,,,,Grey,409
100200,Rye,Rye,100200,1.00,1.00,Green,1419
,,,,,,Blue,25
,,,,,,Grey,99
110210,Rye flour,,100200,0.80,1.00,Green,1774
,,,,,,Blue,32
,,,,,,Grey,124
100400,Oats,Oats,100400,1.00,1.00,Green,1479
,,,,,,Blue,181
,,,,,,Grey,128
110312,Oat groats and meal,,100400,0.20,0.28,Green,2098
,,,,,,Blue,257
,,,,,,Grey,182
110412,"Oats, rolled or flaked grains",,100400,0.53,0.72,Green,1998
,,,,,,Blue,245
,,,,,,Grey,173
110422,"Oats, hulled,pearled,sliced or kibbled",,100400,0.73,1.00,Green,2026
,,,,,,Blue,248
,,,,,,Grey,175
100820,Millet,Millet,100820,1.00,1.00,Green,4306
,,,,,,Blue,57
,,,,,,Grey,115
100700,Grain sorghum,Sorghum,100700,1.00,1.00,Green,2857
,,,,,,Blue,103
,,,,,,Grey,87
100810,Buckwheat,Buckwheat,100810,1.00,1.00,Green,2769
,,,,,,Blue,144
,,,,,,Grey,229
100890ac,Quinoa,Quinoa,100890ac,1.00,1.00,Green,4184
,,,,,,Blue,48
,,,,,,Grey,280
100890ad,Fonio,Fonio,100890ad,1.00,1.00,Green,4938
,,,,,,Blue,
,,,,,,Grey,13
100890ae,Triticale,Triticale,100890ae,1.00,1.00,Green,826
,,,,,,Blue,38
,,,,,,Grey,89
100830,Canary seed,Canary seed,100830,1.00,1.00,Green,4872
,,,,,,Blue,2
,,,,,,Grey,314
100890af,Mixed grain,Mixed grain,100890af,1.00,1.00,Green,1598
,,,,,,Blue,33
,,,,,,Grey,28
100890,Cereals unmilled nes,"Cereals, nes",100890,1.00,1.00,Green,3316
,,,,,,Blue,115
,,,,,,Grey,9
110290,Cereal flour nes,,100890,0.79,0.83,Green,3468
,,,,,,Blue,121
,,,,,,Grey,9
110319,Cereal groats and meal nes,,110329,1.00,1.00,Green,2896
,,,,,,Blue,101
,,,,,,Grey,8
110329,Cereal pellets nes,,100890,0.18,0.16,Green,2896
,,,,,,Blue,101
,,,,,,Grey,8
110419,"Cereals, rolled or flaked grains nes",,100890,0.85,1.00,Green,3902
,,,,,,Blue,136
,,,,,,Grey,10
110429,"Cereals, hulled, pearled, sliced or kibbled nes",,100890,0.85,1.00,Green,3902
,,,,,,Blue,136
,,,,,,Grey,10
110430,"Germ of cereals, whole, rolled, flaked or ground",,100890,0.02,0.02,Green,2757
,,,,,,Blue,96
,,,,,,Grey,7
070190,"Potatoes, fresh or chilled nes",Potatoes,070190,1.00,1.00,Green,191
,,,,,,Blue,33
,,,,,,Grey,63
070190a,Tapioca of potatoes,,070190,0.20,1.00,Green,955
,,,,,,Blue,165
,,,,,,Grey,317
071010,"Potatoes, frozen",,070190,0.50,1.00,Green,382
,,,,,,Blue,66
,,,,,,Grey,127
